ym:pv:watchID;ym:pv:counterID;ym:pv:date;ym:pv:dateTime;ym:pv:title;ym:pv:URL;ym:pv:referer;ym:pv:UTMCampaign;ym:pv:UTMContent;ym:pv:UTMMedium;ym:pv:UTMSource;ym:pv:UTMTerm;ym:pv:browser;ym:pv:browserMajorVersion;ym:pv:browserMinorVersion;ym:pv:browserCountry;ym:pv:browserEngine;ym:pv:browserEngineVersion1;ym:pv:browserEngineVersion2;ym:pv:browserEngineVersion3;ym:pv:browserEngineVersion4;ym:pv:browserLanguage;ym:pv:clientTimeZone;ym:pv:cookieEnabled;ym:pv:deviceCategory;ym:pv:flashMajor;ym:pv:flashMinor;ym:pv:from;ym:pv:hasGCLID;ym:pv:ipAddress;ym:pv:javascriptEnabled;ym:pv:mobilePhone;ym:pv:mobilePhoneModel;ym:pv:openstatAd;ym:pv:openstatCampaign;ym:pv:openstatService;ym:pv:openstatSource;ym:pv:operatingSystem;ym:pv:operatingSystemRoot;ym:pv:physicalScreenHeight;ym:pv:physicalScreenWidth;ym:pv:regionCity;ym:pv:regionCountry;ym:pv:screenColors;ym:pv:screenFormat;ym:pv:screenHeight;ym:pv:screenOrientation;ym:pv:screenWidth;ym:pv:windowClientHeight;ym:pv:windowClientWidth;ym:pv:params;ym:pv:lastTrafficSource;ym:pv:lastSearchEngine;ym:pv:lastSearchEngineRoot;ym:pv:lastAdvEngine;ym:pv:artificial;ym:pv:pageCharset;ym:pv:link;ym:pv:download;ym:pv:notBounce;ym:pv:lastSocialNetwork;ym:pv:httpError;ym:pv:clientID;ym:pv:networkType;ym:pv:lastSocialNetworkProfile;ym:pv:goalsID;ym:pv:shareService;ym:pv:shareURL;ym:pv:shareTitle;ym:pv:iFrame
1603503340611178380;34322390;2017-03-31;2017-03-31 22:07:59;Я - похудела;http://perm.im-slim.ru/;https://yandex.ru/search/touch/?text=центры снижения веса в перми &lr=21745;;;;;;safari_mobile;10;0;ru;WebKit;602;3;12;0;ru;180;1;2;0;0;;0;194.9.226.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;Reutov;Russia;32;11;667;1;375;1461;980;;organic;yandex_mobile;yandex;;0;utf-8;0;0;0;;0;14909872801019238672;;;[];;;;0
1603507274058043276;34322390;2017-03-31;2017-03-31 22:08:14;;http://perm.im-slim.ru/;;;;;;;safari_mobile;10;0;ru;WebKit;602;3;12;0;ru;180;1;2;0;0;;0;194.9.226.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;Reutov;Russia;32;11;667;1;375;1461;980;;direct;;;;1;utf-8;0;0;1;;0;14909872801019238672;;;[];;;;0
1603539546834210508;34322390;2017-03-31;2017-03-31 22:10:17;Я - похудела;http://perm.im-slim.ru/price;http://perm.im-slim.ru/;;;;;;safari_mobile;10;0;ru;WebKit;602;3;12;0;ru;180;1;2;0;0;;0;194.9.226.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;Reutov;Russia;32;11;667;1;375;1461;980;;internal;;;;0;utf-8;0;0;0;;0;14909872801019238672;;;[];;;;0
1603543480869326540;34322390;2017-03-31;2017-03-31 22:10:32;;http://perm.im-slim.ru/price;;;;;;;safari_mobile;10;0;ru;WebKit;602;3;12;0;ru;180;1;2;0;0;;0;194.9.226.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;Reutov;Russia;32;11;667;1;375;1461;980;;direct;;;;1;utf-8;0;0;1;;0;14909872801019238672;;;[];;;;0
1637481949078751101;34322390;2017-04-02;2017-04-02 10:08:17;Я - похудела;http://perm.im-slim.ru/reviews;https://yandex.ru/search/touch/?text=диетолог пермь отзывы &lr=21741;;;;;;safari_mobile;10;0;ru;WebKit;602;4;6;0;ru;300;1;2;0;0;;0;176.59.203.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;;Russia;32;11;667;1;375;1461;980;;organic;yandex_mobile;yandex;;0;utf-8;0;0;0;;0;1491116897599715108;;;[];;;;0
1637485840556885860;34322390;2017-04-02;2017-04-02 10:08:32;;http://perm.im-slim.ru/reviews;;;;;;;safari_mobile;10;0;ru;WebKit;602;4;6;0;ru;300;1;2;0;0;;0;176.59.203.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;;Russia;32;11;667;1;375;1461;980;;direct;;;;1;utf-8;0;0;1;;0;1491116897599715108;;;[];;;;0
1647391970264352610;34322390;2017-04-02;2017-04-02 20:38:21;Я - похудела;http://perm.im-slim.ru/;http://link.2gis.ru/AB1DB6A9/v4-iphone/20170301/perm/r16_2252328094701356?http://perm.im-slim.ru/;;;;;;safari_mobile;10;0;ru;WebKit;602;1;50;0;ru;300;1;2;0;0;;0;46.147.23.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;Perm;Russia;32;11;667;1;375;1461;980;;referral;;;;0;utf-8;0;0;0;;0;14911546831061585717;;;[];;;;0
1647395053561970809;34322390;2017-04-02;2017-04-02 20:38:33;Я - похудела;http://perm.im-slim.ru/price;http://perm.im-slim.ru/;;;;;;safari_mobile;10;0;ru;WebKit;602;1;50;0;ru;300;1;2;0;0;;0;46.147.23.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;Perm;Russia;32;11;667;1;375;1461;980;;internal;;;;0;utf-8;0;0;0;;0;14911546831061585717;;;[];;;;0
1448016490082600802;34322390;2017-03-25;2017-03-25 01:22:24;Я - похудела;http://perm.im-slim.ru/;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1370&l10n=ru;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;0;0;;0;2.93.196.xxx;1;;;;;;;windows8_1;windows;768;1366;Perm;Russia;24;37;768;2;1366;638;1349;;organic;yandex_search;yandex;;0;utf-8;0;0;0;;0;1490394146677067428;;;[];;;;0
1448020402945656684;34322390;2017-03-25;2017-03-25 01:22:39;;http://perm.im-slim.ru/;;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;0;0;;0;2.93.196.xxx;1;;;;;;;windows8_1;windows;768;1366;Perm;Russia;24;37;768;2;1366;638;1349;;direct;;;;1;utf-8;0;0;1;;0;1490394146677067428;;;[];;;;0
1448042012716306121;34322390;2017-03-25;2017-03-25 01:24:01;Я - похудела;http://perm.im-slim.ru/reviews;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1370&l10n=ru;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;2.93.196.xxx;1;;;;;;;windows8_1;windows;768;1366;Perm;Russia;24;37;768;2;1366;638;1349;;organic;yandex_search;yandex;;0;utf-8;0;0;0;;0;1490394146677067428;;;[];;;;0
1448046760767524553;34322390;2017-03-25;2017-03-25 01:24:20;;http://perm.im-slim.ru/reviews;;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;2.93.196.xxx;1;;;;;;;windows8_1;windows;768;1366;Perm;Russia;24;37;768;2;1366;638;1349;;direct;;;;1;utf-8;0;0;1;;0;1490394146677067428;;;[];;;;0
1500216991810848617;34322390;2017-03-27;2017-03-27 08:41:13;Я - похудела;http://perm.im-slim.ru/;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1372&l10n=ru;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;0;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;organic;yandex_search;yandex;;0;utf-8;0;0;0;;0;1490593275863002893;;;[];;;;0
1500220931581151081;34322390;2017-03-27;2017-03-27 08:41:28;;http://perm.im-slim.ru/;;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;0;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;direct;;;;1;utf-8;0;0;1;;0;1490593275863002893;;;[];;;;0
1500228026277824372;34322390;2017-03-27;2017-03-27 08:41:55;Я - похудела;http://perm.im-slim.ru/promotions;http://perm.im-slim.ru/;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;0;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;internal;;;;0;utf-8;0;0;0;;0;1490593275863002893;;;[24311590];;;;0
1500255998697015156;34322390;2017-03-27;2017-03-27 08:43:42;Я - похудела;http://perm.im-slim.ru/promotions;http://perm.im-slim.ru/promotions;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;0;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;internal;;;;0;utf-8;0;0;0;;0;1490593275863002893;;;[24311590];;;;0
1500259787842781307;34322390;2017-03-27;2017-03-27 08:43:56;Я - похудела;http://perm.im-slim.ru/;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1372&l10n=ru;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;organic;yandex_search;yandex;;0;utf-8;0;0;0;;0;1490593275863002893;;;[];;;;0
1500260463341731963;34322390;2017-03-27;2017-03-27 08:43:59;Я - похудела;http://perm.im-slim.ru/#raspisanie;http://perm.im-slim.ru/;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;internal;;;;0;utf-8;0;0;0;;0;1490593275863002893;;;[];;;;0
1500266129501454459;34322390;2017-03-27;2017-03-27 08:44:21;;http://perm.im-slim.ru/#raspisanie;;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;direct;;;;1;utf-8;0;0;1;;0;1490593275863002893;;;[];;;;0
1500268863737302736;34322390;2017-03-27;2017-03-27 08:44:31;Я - похудела;http://perm.im-slim.ru/reviews;http://perm.im-slim.ru/;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;internal;;;;0;utf-8;0;0;0;;0;1490593275863002893;;;[];;;;0
1500272732846952149;34322390;2017-03-27;2017-03-27 08:44:46;;http://perm.im-slim.ru/reviews;;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;direct;;;;1;utf-8;0;0;1;;0;1490593275863002893;;;[];;;;0
1500282206256629619;34322390;2017-03-27;2017-03-27 08:45:22;Я - похудела;http://perm.im-slim.ru/#raspisanie;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1372&l10n=ru;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;organic;yandex_search;yandex;;0;utf-8;0;0;0;;0;1490593275863002893;;;[];;;;0
1500283178955573101;34322390;2017-03-27;2017-03-27 08:45:26;Я - похудела;http://perm.im-slim.ru/price;http://perm.im-slim.ru/;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;internal;;;;0;utf-8;0;0;0;;0;1490593275863002893;;;[];;;;0
1500321045070219097;34322390;2017-03-27;2017-03-27 08:47:50;Я - похудела;http://perm.im-slim.ru/#raspisanie;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1372&l10n=ru;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;organic;yandex_search;yandex;;0;utf-8;0;0;0;;0;1490593275863002893;;;[];;;;0
1500327043388932216;34322390;2017-03-27;2017-03-27 08:48:13;;http://perm.im-slim.ru/#raspisanie;;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;direct;;;;1;utf-8;0;0;1;;0;1490593275863002893;;;[];;;;0
1500327986051940472;34322390;2017-03-27;2017-03-27 08:48:17;Я - похудела;http://perm.im-slim.ru/;http://perm.im-slim.ru/#raspisanie;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;95.167.70.xxx;1;;;;;;;windows_7_2008server;windows;864;1536;Perm;Russia;24;37;864;2;1536;771;1519;;internal;;;;0;utf-8;0;0;0;;0;1490593275863002893;;;[];;;;0
1499467641821595512;34322390;2017-03-27;2017-03-27 07:53:35;Я - похудела;http://perm.im-slim.ru/;;;;;;;firefox;44;0;ru;Gecko;44;0;0;0;ru;300;1;1;0;0;;0;46.146.223.xxx;1;;;;;;;windows_7_2008server;windows;1080;1920;Perm;Russia;24;37;1080;2;1920;576;1007;;direct;;;;0;utf-8;0;0;0;;0;1486356739862278480;;;[];;;;0
1499471472456894328;34322390;2017-03-27;2017-03-27 07:53:49;;http://perm.im-slim.ru/;;;;;;;firefox;44;0;ru;Gecko;44;0;0;0;ru;300;1;1;0;0;;0;46.146.223.xxx;1;;;;;;;windows_7_2008server;windows;1080;1920;Perm;Russia;24;37;1080;2;1920;576;1007;;direct;;;;1;utf-8;0;0;1;;0;1486356739862278480;;;[];;;;0
1496042110970505898;34322390;2017-03-27;2017-03-27 04:15:47;Я - похудела;http://perm.im-slim.ru/;http://ru.search.yahoo.com/search?p=Я похудела пермь&fr=iphone&.tsrc=apple&pcarrier=MTS RUS&pmcc=250&pmnc=01;;;;;;safari_mobile;7;0;ru;WebKit;537;51;2;0;ru;360;1;2;0;0;;0;90.150.126.xxx;1;apple;iPhone;;;;;ios7;ios_double;1136;640;Lysva;Russia;32;11;568;1;320;1409;980;;organic;yahoo_search;yahoo;;0;utf-8;0;0;0;;0;1490574351190691251;;;[];;;;0
1496046094158137180;34322390;2017-03-27;2017-03-27 04:16:02;;http://perm.im-slim.ru/;;;;;;;safari_mobile;7;0;ru;WebKit;537;51;2;0;ru;360;1;2;0;0;;0;90.150.126.xxx;1;apple;iPhone;;;;;ios7;ios_double;1136;640;Lysva;Russia;32;11;568;1;320;1409;980;;direct;;;;1;utf-8;0;0;1;;0;1490574351190691251;;;[];;;;0
1496055463494287480;34322390;2017-03-27;2017-03-27 04:16:38;Я - похудела;http://perm.im-slim.ru/promotions;http://perm.im-slim.ru/;;;;;;safari_mobile;7;0;ru;WebKit;537;51;2;0;ru;360;1;2;0;0;;0;90.150.126.xxx;1;apple;iPhone;;;;;ios7;ios_double;1136;640;Lysva;Russia;32;11;568;1;320;1409;980;;internal;;;;0;utf-8;0;0;0;;0;1490574351190691251;;;[24311590];;;;0
1496070312441151605;34322390;2017-03-27;2017-03-27 04:17:35;Я - похудела;http://perm.im-slim.ru/promotions#raspisanie;http://perm.im-slim.ru/promotions;;;;;;safari_mobile;7;0;ru;WebKit;537;51;2;0;ru;360;1;2;0;0;;0;90.150.126.xxx;1;apple;iPhone;;;;;ios7;ios_double;1136;640;Lysva;Russia;32;11;568;1;320;1409;980;;internal;;;;0;utf-8;0;0;0;;0;1490574351190691251;;;[24311590];;;;0
1496098961831757693;34322390;2017-03-27;2017-03-27 04:19:24;Я - похудела;http://perm.im-slim.ru/price;http://perm.im-slim.ru/promotions;;;;;;safari_mobile;7;0;ru;WebKit;537;51;2;0;ru;360;1;2;0;0;;0;90.150.126.xxx;1;apple;iPhone;;;;;ios7;ios_double;1136;640;Lysva;Russia;32;11;568;1;320;1409;980;;internal;;;;0;utf-8;0;0;0;;0;1490574351190691251;;;[];;;;0
1496102881165051773;34322390;2017-03-27;2017-03-27 04:19:39;;http://perm.im-slim.ru/price;;;;;;;safari_mobile;7;0;ru;WebKit;537;51;2;0;ru;360;1;2;0;0;;0;90.150.126.xxx;1;apple;iPhone;;;;;ios7;ios_double;1136;640;Lysva;Russia;32;11;568;1;320;1409;980;;direct;;;;1;utf-8;0;0;1;;0;1490574351190691251;;;[];;;;0
1513405321158328441;34322390;2017-03-27;2017-03-27 22:39:43;Я - похудела;http://perm.im-slim.ru/price;http://perm.im-slim.ru/;;;;;;safari_mobile;10;0;ru;WebKit;602;4;6;0;ru;300;1;2;0;0;;0;46.147.58.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;Perm;Russia;32;11;667;1;375;1461;980;;internal;;;;0;utf-8;0;0;0;;0;1481135128816153622;;;[];;;;0
1527047894039267200;34322390;2017-03-28;2017-03-28 13:07:05;Я - похудела;http://perm.im-slim.ru/;https://yandex.ru/search/touch/?text=похудеть пермь&msid=1490695596.99288.22901.19452&lr=50;;;;;;safari_mobile;10;0;ru;WebKit;602;4;6;0;ru;300;1;2;0;0;;0;46.146.51.xxx;1;apple;iPhone;;;;;ios10;ios_double;1136;640;Perm;Russia;32;11;568;1;320;1409;980;;organic;yandex_mobile;yandex;;0;utf-8;0;0;0;;0;1463065703371515230;;;[];;;;0
1527051656613341872;34322390;2017-03-28;2017-03-28 13:07:19;;http://perm.im-slim.ru/;;;;;;;safari_mobile;10;0;ru;WebKit;602;4;6;0;ru;300;1;2;0;0;;0;46.146.51.xxx;1;apple;iPhone;;;;;ios10;ios_double;1136;640;Perm;Russia;32;11;568;1;320;1409;980;;direct;;;;1;utf-8;0;0;1;;0;1463065703371515230;;;[];;;;0
1527064000747023024;34322390;2017-03-28;2017-03-28 13:08:06;Я - похудела;http://perm.im-slim.ru/price;http://perm.im-slim.ru/;;;;;;safari_mobile;10;0;ru;WebKit;602;4;6;0;ru;300;1;2;0;0;;0;46.146.51.xxx;1;apple;iPhone;;;;;ios10;ios_double;1136;640;Perm;Russia;32;11;568;1;320;1409;980;;internal;;;;0;utf-8;0;0;0;;0;1463065703371515230;;;[];;;;0
1527073494227224439;34322390;2017-03-28;2017-03-28 13:08:43;Я - похудела;http://perm.im-slim.ru/;https://yandex.ru/search/touch/?text=похудеть пермь&msid=1490695596.99288.22901.19452&lr=50;;;;;;safari_mobile;10;0;ru;WebKit;602;4;6;0;ru;300;1;2;0;0;;0;46.146.51.xxx;1;apple;iPhone;;;;;ios10;ios_double;1136;640;Perm;Russia;32;11;568;1;320;1409;980;;organic;yandex_mobile;yandex;;0;utf-8;0;0;0;;0;1463065703371515230;;;[];;;;0
1522740597248502440;34322390;2017-03-28;2017-03-28 08:33:14;Я - похудела;http://perm.im-slim.ru/;http://all81.ru/f/tsentr-snizheniya-vesa-doktora-gavrilova.html?from=69080;;;;;;yandex_browser;17;3;;WebKit;537;36;0;0;ru;360;1;1;25;0;;0;46.146.16.xxx;1;;;;;;;windows_7_2008server;windows;768;1366;Perm;Russia;24;37;768;2;1366;670;1349;;referral;;;;0;utf-8;0;0;0;;0;1490675593236756534;;;[];;;;0
1522744593336248999;34322390;2017-03-28;2017-03-28 08:33:29;;http://perm.im-slim.ru/;;;;;;;yandex_browser;17;3;;WebKit;537;36;0;0;ru;360;1;1;25;0;;0;46.146.16.xxx;1;;;;;;;windows_7_2008server;windows;768;1366;Perm;Russia;24;37;768;2;1366;670;1349;;direct;;;;1;utf-8;0;0;1;;0;1490675593236756534;;;[];;;;0
1522768111669086063;34322390;2017-03-28;2017-03-28 08:34:59;Я - похудела;http://perm.im-slim.ru/price;http://perm.im-slim.ru/;;;;;;yandex_browser;17;3;;WebKit;537;36;0;0;ru;360;1;1;25;0;;0;46.146.16.xxx;1;;;;;;;windows_7_2008server;windows;768;1366;Perm;Russia;24;37;768;2;1366;670;1349;;internal;;;;0;utf-8;0;0;0;;0;1490675593236756534;;;[];;;;0
1533246418132404067;34322390;2017-03-28;2017-03-28 19:41:10;Я - похудела;http://perm.im-slim.ru/;;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;89.148.199.xxx;1;;;;;;;windows8_1;windows;1080;1920;Perm;Russia;24;37;1080;2;1920;950;1903;;direct;;;;0;utf-8;0;0;0;;0;1477581533429089342;;;[];;;;0
1533250214217910115;34322390;2017-03-28;2017-03-28 19:41:25;;http://perm.im-slim.ru/;;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;89.148.199.xxx;1;;;;;;;windows8_1;windows;1080;1920;Perm;Russia;24;37;1080;2;1920;950;1903;;direct;;;;1;utf-8;0;0;1;;0;1477581533429089342;;;[];;;;0
